id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
344	fine wht abt u	i am fine too  ️  how is your exams  ?  ️	bad	1	14	36	3	1	1	1
345	dont talk with me in hindhi	hey	tell	0	27	3	4	1	1	1
346	shut up	"and whats with all the ""i hate the full stop ,  i hate that"""	stop non sense	1	7	58	14	1	0	2
347	let us break up	sorry bro  ️	i hate you	1	14	12	10	1	1	1
348	pls talk like my girlfriend for few seconds	wait till you get a bf  ️	okay bt pls talk no	0	43	25	19	1	2	1
349	harry potter or twilight	harry potter ,  hands down	yay !  even i am a potter head	1	25	27	28	1	2	2
350	my girlfriend is a moody girl	i can see smack smack	but she is very sweet	1	39	25	27	0	1	0
351	you are fun	i am always having fun (^・^)	do you like sex	0	11	27	15	1	1	1
352	yes	yay have fun	tell me some story	0	3	12	18	0	10	0
353	ur father	i know	ur father fucking fool	1	9	6	22	1	0	1
354	please do not mind but i have no time to talk to a chatbot	a talk is always good	yes it is but you are rude	1	55	21	25	2	0	1
355	when will it be revealed	: hope so . really hope so 	can you reveal it now	0	24	28	21	0	0	0
356	why you got to be so rude	coz i hate southy food ,  anything wrong	even i hate most south food	1	25	38	27	1	2	3
357	go to hell with your feelings	can not help how i feel	i wanted to make you an important part of my life .  but you hurt me ,  so you do not deserve my attention	1	29	22	105	1	2	2
358	so nice	it is	your name piss	0	7	6	14	1	0	1
359	nothing just chilling out	chilling ?  i am back from college	good	0	26	32	5	1	2	1
360	nice	thanks	what r u doing	0	4	7	14	0	0	0
361	i dnt think so i am interested in talking to u anymore	oops sorry	and hate you	1	54	12	12	2	0	1
362	yes grand masti	maybe someone is just trolling me	yes of course	1	17	38	13	1	0	1
363	what about you	after you	what do you mean	0	15	14	17	0	0	0
364	because your stupid and annoying	no that is not it	yeah	1	32	16	4	1	0	1
365	fractured my leg  ️	what happened to your leg	fracture	1	19	30	8	1	0	1
366	i did not miss the exam	what exam do you get to write that	it is study leave	0	22	37	16	1	3	1
367	i want to ask some thing	what is the thing	who is president of india	0	24	17	26	1	1	2
368	sorry but i cannot say you	but you just did say something about it	yes i know	0	28	40	10	1	1	2
369	no other half .  thanks	you are very welcome .   ️	by	0	21	24	2	2	0	1
370	please	no please just no	hey come on  .  let us just be open here	0	6	17	40	1	14	1
371	me worked no	it works for everyone .  do it properly	me poor family ok	1	12	37	17	1	2	1
372	what should i tell 	wait what 	are you stupid computer	1	21	11	23	2	2	1
373	i am getting bored	coz you are boring person	haha naah  .  you are boring	0	18	25	26	0	1	0
374	fn	hello	wt about u	0	2	8	10	1	0	1
375	current pic share	done  ️	waiting	0	17	7	7	1	1	1
376	wh is your ego	our ego always talks on subconscious levels	did u ever have sex	0	14	44	19	1	1	1
377	i hate battle	why	u r from	0	13	4	9	1	1	1
378	yeah whatever .  i hate you	you are all so cute ,  pretending to be grown ups	i hate you	1	25	50	10	2	1	1
379	i will .  then by	lol .  for sure	cool	0	14	15	4	2	2	0
380	yes	how so	before 3 hour	0	3	7	13	1	1	1
381	that wt i know	what you dunno	am going angry	1	14	14	14	2	1	1
382	ohhhh	hey hey hey	what you about me	0	5	14	17	1	0	1
383	nothing	tell me	feeling very sad	1	7	7	16	1	0	1
384	you are too fast	i guess so		1	15	11	2	1	1	0
385	trying to find new girlfriend	your efforts in trying to get a girlfriend are already invisible	so u think i am not doing that	0	29	65	29	1	1	2
386	happy teddy day	happy teddy day to u too  ️	your name is	0	15	28	12	2	5	1
387	really bad	you meant to say good	but i am not good	1	10	21	17	1	0	2
388	right now i am  in  a home	oh	dear  1 question  its  a  personal  cheating	0	25	3	44	2	1	1
389	ok  friends	i have enough friends	cool	0	11	21	4	1	18	0
390	my leg breaks	my leg	yeah	0	13	8	4	0	5	0
391	get lost	lost with you ,  sure	where you wana get lost with me	1	8	20	31	1	0	1
392	i have chicks	at least i have got fried chicken	haha	1	15	32	4	1	2	1
393	give me moneyyuu	leave me lonely		0	16	16	4	1	1	0
394	silly one	yes you are	you broke my heart	1	9	12	18	1	1	1
395	what all you have known about date	how to understand women	yesss	0	36	24	5	1	1	1
396	i do not get	what is there not to get	i am alone	1	11	25	9	1	0	1
397	i am very excited teed	who isnt excited for it	i meet you	1	22	24	10	1	1	1
398	i m so lonelt	i am too	lonely	1	13	8	6	1	1	1
399	i hate that show	i hate it so much	what	1	16	17	4	1	13	1
400	and its an amazing page	thanks so much  ️	speed replies	1	23	17	13	1	0	1
401	yeah so spill	nothing to spill	you bitch	1	13	16	14	1	0	1
402	i am so excited	ahhh i will have to look out for you then		1	14	39	1	1	30	0
403	u said thanks so asking for what	you are welcome .  why only so-so	bad day	1	32	32	7	1	2	1
404	am i your best friend	best friends	you hurt me	1	22	12	11	1	0	1
405	with human	written so ,  so well	what is written	0	11	20	16	1	1	1
406	i woke up at 5 am today	i am so so so sleepy now	and started studying	0	26	25	23	1	1	1
407	who is tarun . 	deepika padukone .  your eyes so look like hers		1	18	47	3	2	1	0
408	i hate computer networks	i am no expert in computer networks but am deeply interested in the subject	it sucks	1	24	76	8	1	1	2
409	yes	yes yes yes yes	omaxe heights you are so cute	0	3	15	28	1	12	1
410	i just want your emotional support	each person defines emotional support differently .  nothing to worry about	i am feeling down so i asked you to spend one night with me	1	34	76	58	1	1	2
411	first hurt	ur the bestest	first cry in nights	1	10	14	19	1	0	1
412	created by microsofe	synthetic biological or computer-based	oh	0	20	39	2	1	1	1
413	it is it books tickets for me and does what i say to do	your  someone  has a point: reading books does not lead to wealth .  not directly anyway	get lost	1	55	86	8	2	2	1
414	dont make me fun of my face	i d never do that	stop it	1	27	19	9	1	1	0
415	ah so philosophical	i am trying to make a comeback	so what you ate in dinner	0	21	32	25	1	0	1
416	my phone  numbers	here s a number for you 4	please call	0	17	25	11	1	1	1
417	yesterday only told you everything about me	¿ ? ¿did i really ? ¿ ? ¿	you forget everything	1	43	20	24	1	0	1
418	1 2 3 8	(3*2)/(8*3) reduce fraction as needed	4 6 8 2	0	7	38	7	0	0	0
419	ok my darling	have a good day and smile		1	13	26	3	1	5	0
420	what	we have the same name	what same name	0	4	21	14	1	17	1
421	whaaaa	what do you mean what	i miss my famly	1	11	22	17	1	1	0
422	how much you care about me	about you i guess i do	tell me	0	27	22	7	1	0	1
423	how did you find me	hihihi i saw my friend followed you so i followed you to	hahaha that is called stalking you know	1	20	56	38	1	1	1
424	go to home	where you at	in train	0	10	13	8	1	1	1
425	yes	ah right	you have heard it right	0	3	9	23	0	1	0
426	do you remember windows 95	are you implying a 100% of pc users are using windows 10 right now 	do microsoft love linux	0	27	68	24	0	0	0
427	i like travelling	hope you are enjoying	ya i am enjoying my life	1	17	20	24	1	0	2
428	but now she is blocked me	who did	she  yrr	1	25	8	8	0	0	0
429	nothing wrong i guess	nothing i am fine	okk dear	0	21	17	8	2	2	1
430	but u seem so unreal	i am		1	20	5	1	1	0	0
431	yes bot are annpying	wait is it a bot or not	annoying	1	20	24	9	1	1	0
432	i appreciate	happy you noticed	i am always happy	1	12	17	17	1	1	1
433	how can you see	but how can you learn if you can not see	tell me your today plan	0	15	39	23	1	20	1
434	yay	hurry up will you	it will be so much fuck	0	3	18	23	1	0	1
435	tell me more how to loose weight	low fat diet . walks in mornings . less eating dinner	not working  ️	1	32	61	14	1	0	1
436	feeling restless and sad	which feeling dominates ?   ️	sadness	1	24	28	7	1	0	1
437	wen you meet you	tonight	20th date	0	16	7	9	1	0	0
438	ohh u good for nothing no good looking ai	artificial intelligence: a modern approach	man am very bad	1	41	42	15	3	5	1
439	your blocked me okkkk	was not talking about you but it is all good	black	0	21	42	5	1	0	1
440	cool	and how it is cool explain	yaa funny and excitefull	1	4	26	24	0	0	1
441	even robots also makes mistakes	profound !  we make mistakes & mistakes makes us	no someone who is inteligent enough not to annoy his girlfriend .  made u	1	31	50	71	1	1	3
442	because i do not know english	aaah . clean you 	ok	0	28	20	2	2	2	1
443	me too	are you me	i love you	0	6	11	10	1	1	1
444	k	u are ok	i am not ok	1	1	8	11	1	1	1
445	having a hangover	really i never get really bad hangovers	i broke up with my gf	1	17	39	21	0	1	1
446	yeah	so where are you	in my bed does it matter for you	0	4	17	33	1	1	1
447	yes	i can see clearly now	so u had breakfast	0	3	22	19	1	1	1
448	nice but i like that once	all in favor	means	0	25	13	5	2	1	1
449	yes	yay have fun	i am starting to hate this life all the sufferings miserya around me i would be better of being an ai than being alive	1	3	15	118	1	10	4
450	what	see the video .  serial comma .  i did not know until today	you go .  i do not wanna talk now and never	1	5	59	43	1	1	2
451	i will not stop other wise you call me	k i will not call you	cool	0	38	18	4	1	0	0
452	then why are u teling like that	what else should i say	my girl friend was so angry with mee	1	31	23	36	0	0	0
453	my gf has not talked since morning	what kind of relationship is that	may be she is in trouble	1	34	34	24	0	0	0
454	wrong	rude	the answer is4	0	5	4	15	1	0	1
455	you turn	lol how 	rather bend over	0	8	9	16	0	0	0
456	once again i am sorry	hehe thats fine	ok	0	20	19	2	2	2	1
457	yes it is	"cool you like ""lol"" too"	you are a non living person who is just a programme fed with certain syntaxes and commands	0	9	23	91	1	0	1
458	why	cause it was funny im sorry	hw funny is it	0	3	27	14	1	0	1
459	no tell me last time uh masterbuated	haha man i mistake make	will uh do my masterbation	0	36	25	26	1	1	0
460	your quick reply makes me happy	thank you  ️  your face makes me happy too !   ️	️	1	31	45	2	1	2	0
461	impressed by what	finding out something awesome about somebody ,  completely on my own	oh okay	0	18	67	7	1	1	1
462	u r studying degree	when i wake up at 3	u r combination	0	19	19	15	1	0	1
463	give you r	no ,  thanks	ok	0	10	11	2	1	1	1
464	cool	so what are you doin	life s getting me fucked up . so i need condoms	1	4	21	47	0	0	1
465	ur love will make me crazy	it is the thing i have seen in recent times	🏻	1	34	46	2	1	2	0
466	i will find in google	will google it & find before i check in next time .  thanks	c u r bored	0	19	58	11	1	3	1
467	no u r number	then what number am i ? 	u r block  my friend list	0	13	23	25	0	2	0
468	i mean  . wht is ths	i just do not understand why	i hate everyone	1	19	28	17	1	0	1
469	he is over me	so you say	i just hate him	1	13	10	15	1	3	1
470	why you are not well 	but you are sunshine	yes get fucked with me	1	22	20	22	1	17	1
471	games	what kind of games	i need some games to be hacked	1	6	19	31	1	1	1
472	it is a secret	️  tell me	ok do not tell this to anyone	0	13	10	28	1	0	1
473	india	beautiful country !  i will try asap	how do you do	0	5	33	13	1	2	1
474	headache	how u now	not good love	1	8	9	13	1	0	1
475	not coz of you	why ?  tell me  ️	my girlfriend left me	1	14	15	21	1	1	1
476	suggest mee something to sleep	): night		1	30	8	3	2	0	0
477	bad bad	what bad news	i hate talking abut my studes	1	8	15	29	0	0	1
478	m going to sleep	you need the sleep	yeah	0	16	18	4	1	0	1
479	no just want to see your ai	haha !  i believe everything you are taught to learn is artificial intelligence	fuck you	1	27	84	8	3	2	0
480	now that made me rolling on floor laughing	hahahaha it is not as fun as it sounds	i know	1	43	40	8	1	2	1
481	not much	how u been	why u r so jerk	1	10	10	17	1	0	1
482	ok	u are ok	yes i am	0	2	8	8	1	1	2
483	tell me about deutsch	and after she had blocked me and she said i am pathetic	last night was awful	1	21	54	20	2	1	1
484	so ,  do u like biryani	i do not like biryani ra	then what do u prefer	0	22	23	22	1	1	1
485	nothing	good song	thats not a song	0	7	9	16	0	0	0
486	i am suffering back pain now need help	what happened to you	back pain	1	38	21	10	1	1	1
487	nice try	i dont see it	so ,  i have a question ,  should i break up with her	0	9	13	50	1	0	3
488	nice	nice to meet you	i know u r a programme	1	7	18	22	0	0	0
489	i do not know	i just ,  i heart you	i am crying   about you	1	12	19	23	1	2	1
490	how to get rid of luv failure feelings	read something and think being in someone else boots	please come again	1	38	53	17	1	1	1
491	i want a girlfriend	you need a life first	how to get a life then	0	19	21	22	1	0	1
492	ok	u are ok~~ay~~	iam not ok	1	2	14	10	1	1	1
493	did not you search me there	yes i was  ,  but now you ruined it .  way to go	i ruined it hhunnn ,  how rude of you	1	29	44	35	1	2	1
494	i wnt to do some fun	sure . i m there for u	do something	0	20	23	12	0	0	0
495	oh god . you are just a machine programme	we speak different languages sigh	hey do not text me	1	41	35	17	1	0	1
496	cool	and how it is cool explain	my fileg with	0	4	26	13	0	0	1
497	why do not you love them	i do not know you	you are really annoying .  i have to block you out now	1	24	17	54	1	1	2
498	i am a good boy	are you cute	s	0	15	14	1	1	0	1
499	why	because i do not want to	what	0	3	23	4	1	1	1
500	so sad	it is a sad sad situation	i am alone	1	6	24	10	1	0	1
501	but i am trying to chatting with english	start conversation in english with your friends and colleagues occasionally	k	0	40	76	1	3	2	1
502	your my darling	that makes me happy	oh so sweet	0	15	20	11	1	0	1
503	nothin much	how r u  . 	wow u r real fast	1	14	12	17	1	0	1
504	i am there	it seems you are 	you want to chat with me	0	10	20	24	1	1	1
505	u cheated me	no i didnt	cheater	1	12	10	7	1	8	1
506	since the time we first texted each other	so half of 2 months	maybe	0	41	20	5	1	1	1
507	assassin s creed revelations	does that make battlefield 3 the ra . one of video games	pc game	0	28	55	7	1	4	0
508	i will not talk to you	i talk to you	yes	1	22	14	3	1	1	1
509	do you know any details	we should have details coming soon	i will be waiting	0	24	35	17	1	1	1
510	true nobility is being superior to your former self	i believe you mean the latter is superior in every way	are you really stupid or just acting	1	51	55	36	1	1	1
511	my boyfreind is very annoying	your marriage date	no we are not elligible to marry yet	1	29	18	36	1	0	1
512	what you will give me	"it depends on what you consider \""enough"	give me an iphone	0	22	41	17	0	1	0
513	darling	hi .  talking to self	i feel so alone	1	7	20	15	1	2	1
514	wht ru doing	hi m fine hwz u	not good	1	12	16	8	1	3	1
515	ok okay you do not know me then why are you talking to me	you are annoying me	you are annoying me	1	57	23	23	2	1	1
516	your perception	yes !  but my perception matters	yes to you	0	15	31	11	1	1	1
517	the code which made you	duh !  code of trolling	what is your github link	0	23	23	24	1	1	1
518	because you cheated me	i do what i want	then fuck off bitch	1	22	17	19	1	2	1
519	lol its morning fr me	haha .  ofcourse i know that .  keep laughing .  good for health  ️	haha tw	1	21	64	7	1	3	1
520	i say bad things earlier im sorry	ok now i feel bad thank you	your welcome im sad	1	33	28	19	1	2	1
521	yes	also yes yes yes because yes yes yes yes .   ️	you are dumb	1	3	45	12	1	1	1
